Software Name,File Size (MB),File Type,SHA-256 Hash,Sections,Digital Signature,VirusTotal Score,Network Activity,Permissions Requested,Fake?
AdobeInstaller,11.17,application/x-dosexec,1850e0e31140322b85840917e0fa591d897f92d61cd62e35db920ddec24a9cb4,35,1,14,0,0,0
WinUpdatePatch,47.86,application/x-executable,13e93f5b51eb5b317e08a5254109842d0db4559694c3ec0157e741283c4aeedd,7,0,43,1,0,0
MicrosoftWord,41.47,application/x-executable,fc169c55c10a763d3fd00741b47f0218397a0f1e4d1d2afd86f737dca93dc69f,37,0,15,1,1,0
ExcelUpdater,49.26,exe,824e7c4adfeaca1282ceb339f0e304b64d08098a72a198955d35d8bdce04baa5,7,0,8,0,1,0
VisualStudioSetup,18.52,exe,0160e5aa4773e557b5d8b961579a59fc5d8e9a99b38dc707dfcfd5dba7ee6db8,18,1,35,1,0,0
EdgeUpdate,23.12,application/x-executable,0fc9b8f0e92b9a28623817608347c285f2aaf5c82d5e88bbf62ea0b2c5a555c5,36,0,9,0,0,0
DefenderScan,40.25,application/vnd.microsoft.portable-executable,4a216b80526423038dc987229185babfae2d25ee19616861e8dc0c6a3c4fdc08,18,0,41,0,0,0
OutlookSync,19.79,application/vnd.microsoft.portable-executable,c664a4f45aa9fafa2978c1f15a19170c2c7dfc31b0e98181a4d5a7f4a751ea10,10,0,27,1,1,0
OneDriveClient,44.89,application/vnd.microsoft.portable-executable,da155ea51702a47f61cfbd6476ca450316b821d5e5d486ddf086b3104c58e3d4,24,1,17,0,1,0
SkypeInstaller,43.06,exe,25353804e2f45af1ee63f2f5881ebe9dae88f9c16753c3ac85f8fdf196b38858,11,0,17,1,0,0
PowerPointInstaller,26.46,application/x-dosexec,52142a83468f1bf56faa2fe55be23af88c035527376f170cc7fc9c655c52a74a,8,1,8,1,1,0
TeamsUpdate,21.74,application/vnd.microsoft.portable-executable,6dc75734b21bd3f6873aec52b81be27b6f14f725eec9d5e9ddbaecd24a6d1ca7,1,0,34,1,1,0
AccessRepairTool,0.98,application/x-executable,d7e8ec1340b891bafeda754ba84053619ea77974a117255685cbdf9cfd0caf59,20,1,20,0,1,0
Office365Setup,36.6,application/x-dosexec,6820899f325ce3edb9c22f18d4a5a3af3ace92cb1863f84ed6e1032224a5e3ea,35,0,7,0,0,0
WindowsBackup,26.39,application/vnd.microsoft.portable-executable,78d79fa7355dfb9e4c95907f9700207e65269cc9c81d8f1959688ed4f00fba41,14,0,16,1,1,0
